ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2018-0093,2018-08-20,2018,8,20,PEATON,PEATON,MASCULINO,24,2018-08-20 00:00:00
2018-0094,2018-08-23,2018,8,23,CONDUCTOR,MOTO,MASCULINO,32,2018-08-23 00:00:00
2018-0096,2018-08-31,2018,8,31,PEATON,PEATON,MASCULINO,39,2018-08-31 00:00:00
2018-0097,2018-09-02,2018,9,2,CONDUCTOR,AUTO,FEMENINO,35,2018-09-02 00:00:00
2018-0098,2018-09-09,2018,9,9,CONDUCTOR,AUTO,MASCULINO,55,2018-09-09 00:00:00
2018-0104,2018-10-01,2018,10,1,CONDUCTOR,MOTO,MASCULINO,22,2018-10-01 00:00:00
2018-0105,2018-10-03,2018,10,3,PEATON,PEATON,FEMENINO,56,2018-10-03 00:00:00
2018-0106,2018-10-04,2018,10,4,CONDUCTOR,MOTO,MASCULINO,27,2018-10-04 00:00:00
2018-0108,2018-10-09,2018,10,9,CONDUCTOR,MOTO,MASCULINO,37,2018-10-10 00:00:00
2018-0109,2018-10-10,2018,10,10,PEATON,PEATON,MASCULINO,34,2018-10-10 00:00:00
2018-0111,2018-10-19,2018,10,19,CONDUCTOR,MOTO,MASCULINO,28,2018-10-19 00:00:00
2018-0112,2018-10-24,2018,10,24,CONDUCTOR,MOTO,FEMENINO,28,2018-10-24 00:00:00
2018-0114,2018-10-30,2018,10,30,CONDUCTOR,MOTO,MASCULINO,23,2018-10-30 00:00:00
2018-0115,2018-10-31,2018,10,31,PEATON,PEATON,MASCULINO,42,2018-11-01 00:00:00
2018-0116,2018-11-01,2018,11,1,PEATON,PEATON,MASCULINO,48,2018-11-08 00:00:00
2018-0117,2018-11-04,2018,11,4,CONDUCTOR,MOTO,MASCULINO,30,2018-11-08 00:00:00
2018-0119,2018-11-05,2018,11,5,PEATON,PEATON,FEMENINO,32,2018-11-06 00:00:00
2018-0120,2018-11-09,2018,11,9,PEATON,PEATON,FEMENINO,51,2018-11-20 00:00:00
2018-0122,2018-11-12,2018,11,12,CONDUCTOR,AUTO,MASCULINO,33,2018-11-12 00:00:00
2018-0123,2018-11-12,2018,11,12,CONDUCTOR,AUTO,MASCULINO,25,2018-11-12 00:00:00
2018-0125,2018-11-16,2018,11,16,PEATON,PEATON,MASCULINO,29,2018-11-17 00:00:00
2018-0126,2018-11-18,2018,11,18,CONDUCTOR,MOTO,MASCULINO,27,2018-11-23 00:00:00
